name_english,name_arabic,calories,protein (g),fat (g),carbohydrates (g),recipe_english,recipe_arabic,food_type,serving_size_english,serving_size_arabic,bread_suggestion_english,bread_suggestion_arabic,tags,Column1,_1,meal,Column2,_2,Column3,_3
Breakfast Danish (1 pastry),دانماركي إفطار (1 معجنات),420,6,20,50,"Breakfast danish pastry (1 pastry - approx. 85g) with fruit filling (apple, cherry).","معجنات دانماركية للإفطار (1 معجنات - حوالي 85 جرام) مع حشوة الفاكهة (تفاح، كرز).",danish,1 pastry,1 معجنات,No bread suggested,لا يقترح خبز,"vegetarian,low-protein,high-fat,high-carb,breakfast,danish",,,breakfast,,,,
Breakfast Croissant (Plain - 1 croissant),كرواسون إفطار (سادة - 1 كرواسون),380,7,20,40,Plain breakfast croissant (1 croissant - approx. 70g).,كرواسون إفطار سادة (1 كرواسون - حوالي 70 جرام).,french,1 croissant,1 كرواسون,No bread suggested,لا يقترح خبز,"vegetarian,low-protein,high-fat,high-carb,breakfast,croissant,french",,,breakfast,,,,
Breakfast Samosas (2 samosas),سمبوسة إفطار (2 سمبوسة),350,10,18,35,"Two baked or air-fried breakfast samosas (approx. 100g total) filled with potatoes, peas, and spices.",اثنان من سمبوسة الإفطار المخبوزة أو المقلية بالهواء (حوالي 100 جرام إجمالي) محشوة بالبطاطس والبازلاء والتوابل.,indian,2 samosas,2 سمبوسة,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,indian",,,breakfast,,,,
Breakfast Spring Rolls (2 rolls),لفائف الربيع للإفطار (2 لفافة),300,8,15,30,"Two fresh breakfast spring rolls (approx. 120g total) filled with vegetables, tofu, and herbs. Served with a light dipping sauce.",اثنان من لفائف الربيع الطازجة للإفطار (حوالي 120 جرام إجمالي) محشوة بالخضروات والتوفو والأعشاب. تقدم مع صلصة غمس خفيفة.,vietnamese,2 spring rolls,2 لفافة ربيع,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,vietnamese",,,breakfast,,,,
Breakfast Dumplings (Steamed - 4 dumplings),زلابية إفطار (مطبوخة بالبخار - 4 زلابية),320,12,12,40,Four steamed breakfast dumplings (approx. 100g total) filled with vegetables and chicken or tofu. Served with soy sauce.,أربعة زلابية إفطار مطبوخة بالبخار (حوالي 100 جرام إجمالي) محشوة بالخضروات والدجاج أو التوفو. تقدم مع صلصة الصويا.,asian,4 dumplings,4 زلابية,No bread suggested,لا يقترح خبز,"moderate-protein,moderate-fat,moderate-carb,breakfast,asian",,,breakfast,,,,
Breakfast Congee (Chicken - 1 bowl),كونجي إفطار (دجاج - 1 وعاء),250,15,5,35,Bowl of chicken congee (rice porridge - approx. 300g) with shredded chicken and ginger.,وعاء من كونجي الدجاج (عصيدة الأرز - حوالي 300 جرام) مع دجاج مبشور وزنجبيل.,asian,1 bowl congee,1 وعاء كونجي,No bread suggested,لا يقترح خبز,"moderate-protein,low-fat,moderate-carb,breakfast,asian,soup",,,breakfast,,,,
Breakfast Miso Soup (with Tofu and Seaweed - 1 bowl),حساء ميسو للإفطار (مع توفو وأعشاب بحرية - 1 وعاء),120,8,4,10,Bowl of miso soup (approx. 250ml) with tofu cubes (30g) and seaweed.,وعاء من حساء ميسو (حوالي 250 مل) مع مكعبات توفو (30 جرام) وأعشاب بحرية.,japanese,1 bowl miso soup,1 وعاء حساء ميسو,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,low-fat,moderate-carb,breakfast,japanese,soup",,,breakfast,,,,
Breakfast Noodle Soup (Chicken - 1 bowl),حساء نودلز للإفطار (دجاج - 1 وعاء),380,25,10,50,"Bowl of chicken noodle soup (approx. 350ml) with whole wheat noodles, chicken (50g), and vegetables (carrots, celery).","وعاء من حساء نودلز الدجاج (حوالي 350 مل) مع نودلز القمح الكامل والدجاج (50 جرام) والخضروات (جزر، كرفس).",asian,1 bowl noodle soup,1 وعاء حساء نودلز,No bread suggested,لا يقترح خبز,"moderate-protein,low-fat,moderate-carb,breakfast,asian,soup",,,breakfast,,,,
Breakfast Fried Rice (Vegetable - 1 cup),أرز مقلي للإفطار (خضروات - 1 كوب),320,7,10,50,"Cup of vegetable fried rice (approx. 200g) with mixed vegetables (peas, carrots, corn) and egg (optional - add 5g protein if included).","كوب من الأرز المقلي بالخضروات (حوالي 200 جرام) مع خضروات مشكلة (بازلاء، جزر، ذرة) والبيض (اختياري - أضف 5 جرام بروتين إذا تم تضمينه).",asian,1 cup fried rice,1 كوب أرز مقلي,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,asian",,,breakfast,,,,
Breakfast Stir-Fry (Tofu and Vegetables - 1 cup),إفطار سوتيه (توفو وخضروات - 1 كوب),280,15,12,20,"Cup of tofu and vegetable stir-fry (approx. 200g) with firm tofu (80g) and mixed vegetables (broccoli, peppers, onions).","كوب من سوتيه التوفو والخضروات (حوالي 200 جرام) مع التوفو المتماسك (80 جرام) والخضروات المشكلة (بروكلي، فلفل، بصل).",asian,1 cup stir-fry,1 كوب سوتيه,No bread suggested,لا يقترح خبز,"vegan,vegetarian,high-protein,moderate-fat,moderate-carb,breakfast,asian,stir-fry",,,breakfast,,,,
Breakfast Curry (Vegetable - 1 cup),كاري إفطار (خضروات - 1 كوب),300,8,15,30,"Cup of vegetable curry (approx. 250g) with mixed vegetables (potatoes, cauliflower, peas) in a mild coconut milk based curry.","كوب من كاري الخضروات (حوالي 250 جرام) مع خضروات مشكلة (بطاطس، قرنبيط، بازلاء) في كاري خفيف يعتمد على حليب جوز الهند.",indian,1 cup curry,1 كوب كاري,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,indian,curry",,,breakfast,,,,
Breakfast Dosa (1 dosa),دوسة إفطار (1 دوسة),250,6,8,40,One plain dosa (South Indian crepe - approx. 80g) made from fermented rice and lentil batter.,دوسة سادة واحدة (كريب جنوب هندي - حوالي 80 جرام) مصنوعة من الأرز المخمر وعجين العدس.,indian,1 dosa,1 دوسة,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,low-fat,high-carb,breakfast,indian",,,breakfast,,,,
Breakfast Idli (2 idlis),إدلي إفطار (2 إدلي),180,5,2,35,Two idlis (South Indian steamed rice cakes - approx. 70g total) made from fermented rice and lentil batter.,اثنان إدلي (كعك أرز مطبوخ بالبخار من جنوب الهند - حوالي 70 جرام إجمالي) مصنوع من الأرز المخمر وعجين العدس.,indian,2 idlis,2 إدلي,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,low-fat,high-carb,breakfast,indian",,,breakfast,,,,
Breakfast Upma (1 cup),أوبما إفطار (1 كوب),220,6,5,35,"Cup of upma (South Indian savory semolina porridge - approx. 200g) with vegetables (onions, peas, carrots).","كوب من أوبما (عصيدة سميد مالحة من جنوب الهند - حوالي 200 جرام) مع الخضروات (بصل، بازلاء، جزر).",indian,1 cup upma,1 كوب أوبما,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,low-fat,moderate-carb,breakfast,indian",,,breakfast,,,,
Breakfast Poha (1 cup),بوها إفطار (1 كوب),200,4,3,40,"Cup of poha (Indian flattened rice dish - approx. 150g) with onions, potatoes, and spices.",كوب من بوها (طبق أرز مسطح هندي - حوالي 150 جرام) مع البصل والبطاطس والتوابل.,indian,1 cup poha,1 كوب بوها,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,low-fat,high-carb,breakfast,indian",,,breakfast,,,,
Breakfast Paratha (Whole Wheat - 1 paratha),باراثا إفطار (قمح كامل - 1 باراثا),350,8,15,45,One whole wheat paratha (Indian flatbread - approx. 80g) cooked with minimal oil.,باراثا قمح كامل واحد (خبز مسطح هندي - حوالي 80 جرام) مطبوخ بالحد الأدنى من الزيت.,indian,1 paratha,1 باراثا,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,indian",,,breakfast,,,,
Breakfast Roti (Whole Wheat - 2 rotis),روتي إفطار (قمح كامل - 2 روتي),280,7,8,45,Two whole wheat rotis (Indian flatbread - approx. 70g total) cooked on a griddle.,اثنان من روتي القمح الكامل (خبز مسطح هندي - حوالي 70 جرام إجمالي) مطبوخ على صينية.,indian,2 rotis,2 روتي,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,low-fat,high-carb,breakfast,indian",,,breakfast,,,,
Breakfast Chapati (Whole Wheat - 2 chapatis),تشاباتي إفطار (قمح كامل - 2 تشاباتي),250,6,6,40,Two whole wheat chapatis (Indian flatbread - approx. 60g total) cooked on a griddle.,اثنان من تشاباتي القمح الكامل (خبز مسطح هندي - حوالي 60 جرام إجمالي) مطبوخ على صينية.,indian,2 chapatis,2 تشاباتي,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,low-fat,high-carb,breakfast,indian",,,breakfast,,,,
Breakfast Aloo Paratha (1 paratha),الو باراثا إفطار (1 باراثا),400,9,18,50,One aloo paratha (Indian flatbread stuffed with potatoes - approx. 100g) cooked with minimal oil.,الو باراثا واحد (خبز مسطح هندي محشو بالبطاطس - حوالي 100 جرام) مطبوخ بالحد الأدنى من الزيت.,indian,1 aloo paratha,1 الو باراثا,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,moderate-fat,high-carb,breakfast,indian",,,breakfast,,,,
Breakfast Paneer Paratha (1 paratha),بانير باراثا إفطار (1 باراثا),420,12,20,40,One paneer paratha (Indian flatbread stuffed with paneer cheese - approx. 100g) cooked with minimal oil.,بانير باراثا واحد (خبز مسطح هندي محشو بجبنة البانير - حوالي 100 جرام) مطبوخ بالحد الأدنى من الزيت.,vegetarian,1 paneer paratha,1 بانير باراثا,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,indian",,,breakfast,,,,
Breakfast Egg Curry (1 cup),كاري البيض للإفطار (1 كوب),320,18,20,15,Cup of egg curry (approx. 250g) with hard-boiled eggs (2) in a tomato and onion based curry sauce.,كوب من كاري البيض (حوالي 250 جرام) مع بيض مسلوق (2) في صلصة كاري تعتمد على الطماطم والبصل.,indian,1 cup egg curry,1 كوب كاري البيض,No bread suggested,لا يقترح خبز,"moderate-protein,high-fat,moderate-carb,breakfast,indian,curry",,,breakfast,,,,
Breakfast Chana Masala (1 cup),تشانا ماسالا إفطار (1 كوب),300,10,8,45,Cup of chana masala (chickpea curry - approx. 250g) in a tomato and onion based sauce.,كوب من تشانا ماسالا (كاري الحمص - حوالي 250 جرام) في صلصة تعتمد على الطماطم والبصل.,indian,1 cup chana masala,1 كوب تشانا ماسالا,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,low-fat,high-carb,breakfast,indian,curry",,,breakfast,,,,
Breakfast Dal Makhani (1/2 cup),دال مخاني إفطار (نصف كوب),350,12,25,20,Half cup of dal makhani (creamy black lentil dish - approx. 150g) with butter and cream.,نصف كوب من دال مخاني (طبق عدس أسود كريمي - حوالي 150 جرام) مع الزبدة والقشدة.,indian,1/2 cup dal makhani,نصف كوب دال مخاني,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,high-fat,moderate-carb,breakfast,indian",,,breakfast,,,,
Breakfast Avarese (Egyptian Fava Beans - 300g),أفاريسي إفطار (فول مصري - 300 جرام),280,15,8,40,"Egyptian style fava beans (avarese - 300g) cooked with cumin, lemon, and olive oil.",فول مصري على طريقة أفاريسي (300 جرام) مطبوخ بالكمون والليمون وزيت الزيتون.,egyptian,300g serving,300 جرام للوجبة,100g whole wheat pita bread (optional),100 جرام خبز بيتا القمح الكامل (اختياري),"vegan,vegetarian,high-protein,low-fat,high-carb,breakfast,egyptian",,,breakfast,,,,
Feteer Meshaltet (Small Piece - 100g),فطير مشلتت (قطعة صغيرة - 100 جرام),380,6,20,45,Small piece of feteer meshaltet (Egyptian layered pastry - approx. 100g) plain or with honey.,قطعة صغيرة من فطير مشلتت (معجنات مصرية متعددة الطبقات - حوالي 100 جرام) سادة أو بالعسل.,egyptian,100g piece,100 جرام قطعة,No bread suggested,لا يقترح خبز,"vegetarian,low-protein,high-fat,high-carb,breakfast,egyptian,pastry",,,breakfast,,,,
Konafa (Small Piece - 80g),كنافة (قطعة صغيرة - 80 جرام),350,5,18,40,Small piece of konafa (Egyptian sweet pastry - approx. 80g) with cheese and syrup.,قطعة صغيرة من كنافة (معجنات مصرية حلوة - حوالي 80 جرام) مع الجبن والشراب.,egyptian,80g piece,80 جرام قطعة,No bread suggested,لا يقترح خبز,"vegetarian,low-protein,high-fat,high-carb,breakfast,egyptian,pastry,sweet",,,breakfast,,,,
Basbousa (Small Piece - 80g),بسبوسة (قطعة صغيرة - 80 جرام),320,4,15,45,Small piece of basbousa (Egyptian semolina cake - approx. 80g) with syrup.,قطعة صغيرة من بسبوسة (كيك سميد مصري - حوالي 80 جرام) مع الشراب.,egyptian,80g piece,80 جرام قطعة,No bread suggested,لا يقترح خبز,"vegetarian,low-protein,high-fat,high-carb,breakfast,egyptian,pastry,sweet",,,breakfast,,,,
Umm Ali (Small Bowl - 150g),أم علي (طبق صغير - 150 جرام),400,5,20,50,"Small bowl of umm ali (Egyptian bread pudding - approx. 150g) with milk, nuts, and raisins.",طبق صغير من أم علي (بودينغ الخبز المصري - حوالي 150 جرام) مع الحليب والمكسرات والزبيب.,egyptian,150g bowl,150 جرام طبق,No bread suggested,لا يقترح خبز,"vegetarian,low-protein,high-fat,high-carb,breakfast,egyptian,dessert",,,breakfast,,,,
Rice Pudding (Egyptian - Small Bowl - 150g),أرز باللبن (مصري - طبق صغير - 150 جرام),250,4,8,40,"Small bowl of Egyptian rice pudding (roz bel laban - approx. 150g) with milk, rice, and sweetener.",طبق صغير من أرز باللبن المصري (حوالي 150 جرام) مع الحليب والأرز والمحليات.,egyptian,150g bowl,150 جرام طبق,No bread suggested,لا يقترح خبز,"vegetarian,low-protein,moderate-fat,high-carb,breakfast,egyptian,dessert",,,breakfast,,,,
Semolina Halva (Small Portion - 80g),حلاوة سميد (حصة صغيرة - 80 جرام),300,3,12,45,"Small portion of semolina halva (Egyptian sweet - approx. 80g) with semolina, sugar, and nuts.",حصة صغيرة من حلاوة سميد (حلوى مصرية - حوالي 80 جرام) مع السميد والسكر والمكسرات.,egyptian,80g portion,80 جرام حصة,No bread suggested,لا يقترح خبز,"vegetarian,low-protein,high-fat,high-carb,breakfast,egyptian,dessert",,,breakfast,,,,
Qeshta with Honey (Small Portion - 100g),قشطة بالعسل (حصة صغيرة - 100 جرام),350,3,30,15,Small portion of qeshta (Egyptian clotted cream - approx. 100g) with honey (1 tbsp).,حصة صغيرة من قشطة (قشطة مصرية - حوالي 100 جرام) مع العسل (1 ملعقة كبيرة).,egyptian,100g portion,100 جرام حصة,No bread suggested,لا يقترح خبز,"vegetarian,low-protein,high-fat,moderate-carb,breakfast,egyptian,dessert",,,breakfast,,,,
Molokhia Soup with Chicken (Small Bowl - 250ml),شوربة ملوخية بالدجاج (طبق صغير - 250 مل),200,18,8,10,Small bowl of molokhia soup (Egyptian jute mallow soup - approx. 250ml) with chicken (30g).,طبق صغير من شوربة ملوخية (شوربة ملوخية مصرية - حوالي 250 مل) مع الدجاج (30 جرام).,egyptian,250ml bowl,250 مل طبق,50g Baladi Bread (optional),50 جرام خبز بلدي (اختياري),"moderate-protein,moderate-fat,low-carb,breakfast,egyptian,soup",,,breakfast,,,,
Besara (Egyptian Bean Dip - 300g),بصارة (غموس فول مصري - 300 جرام),250,10,10,35,Besara (Egyptian fava bean and herb dip - 300g) with olive oil and spices.,بصارة (غموس فول مصري وأعشاب - 300 جرام) مع زيت الزيتون والتوابل.,egyptian,300g serving,300 جرام للوجبة,100g whole wheat pita bread (optional),100 جرام خبز بيتا القمح الكامل (اختياري),"vegan,vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,egyptian",,,breakfast,,,,
Eggah (Egyptian Omelette - 1 slice),عجة (أومليت مصري - 1 شريحة),280,15,20,8,"Slice of eggah (Egyptian vegetable omelette - approx. 150g) with eggs, vegetables (parsley, dill, spinach), and spices.","شريحة من عجة (أومليت خضروات مصري - حوالي 150 جرام) مع البيض والخضروات (بقدونس، شبت، سبانخ) والتوابل.",egyptian,1 slice eggah,1 شريحة عجة,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,high-fat,low-carb,breakfast,egyptian,omelette",,,breakfast,,,,
Batates Maqliya (Fried Potatoes - Small Portion - 150g),بطاطس مقلية (حصة صغيرة - 150 جرام),350,4,20,40,Small portion of batates maqliya (Egyptian fried potatoes - 150g) lightly salted.,حصة صغيرة من بطاطس مقلية (بطاطس مقلية مصرية - 150 جرام) مملحة قليلاً.,egyptian,150g portion,150 جرام حصة,No bread suggested,لا يقترح خبز,"vegan,vegetarian,low-protein,high-fat,high-carb,breakfast,egyptian,fried",,,breakfast,,,,
Gebna Bayda (White Cheese with Tomato - 100g),جبنة بيضاء (جبنة بيضاء مع طماطم - 100 جرام),180,12,12,5,White cheese (feta or domiati - 80g) with sliced tomato (20g).,جبنة بيضاء (فيتا أو دمياطي - 80 جرام) مع طماطم مقطعة (20 جرام).,egyptian,100g serving,100 جرام للوجبة,50g Baladi Bread (optional),50 جرام خبز بلدي (اختياري),"vegetarian,moderate-protein,moderate-fat,low-carb,breakfast,egyptian,cheese",,,breakfast,,,,
Halawa (Sesame Sweet - Small Portion - 50g),حلاوة طحينية (حصة صغيرة - 50 جرام),280,8,20,20,Small portion of halawa (sesame sweet - 50g) plain or with nuts.,حصة صغيرة من حلاوة طحينية (حلوى سمسم - 50 جرام) سادة أو بالمكسرات.,egyptian,50g portion,50 جرام حصة,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,high-fat,moderate-carb,breakfast,egyptian,sweet",,,breakfast,,,,
Foul bi Zeit Zeitoun (Fava Beans with Olive Oil - 300g),فول بزيت زيتون (فول بزيت زيتون - 300 جرام),300,16,10,40,Fava beans (foul - 300g) simply prepared with olive oil (2 tbsp) and lemon juice.,فول (فول - 300 جرام) مُجهز ببساطة بزيت الزيتون (2 ملعقة كبيرة) وعصير الليمون.,egyptian,300g serving,300 جرام للوجبة,100g whole wheat pita bread (optional),100 جرام خبز بيتا القمح الكامل (اختياري),"vegan,vegetarian,high-protein,moderate-fat,high-carb,breakfast,egyptian",,,breakfast,,,,
Tamia Bel Gebna (Taameya with Cheese - 3 pieces),طعمية بالجبنة (طعمية بالجبنة - 3 قطع),250,15,12,25,Taameya (3 pieces - approx. 80g) stuffed with cheese (20g) before frying or baking.,طعمية (3 قطع - حوالي 80 جرام) محشوة بالجبن (20 جرام) قبل القلي أو الخبز.,egyptian,3 pieces,3 قطع,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,egyptian",,,breakfast,,,,
Ful Medames with Egg (350g),فول مدمس بالبيض (350 جرام),380,20,15,45,Ful medames (300g) topped with a hard-boiled egg (1 large).,فول مدمس (300 جرام) مغطى ببيض مسلوق (1 كبير).,egyptian,350g serving,350 جرام للوجبة,100g whole wheat pita bread (optional),100 جرام خبز بيتا القمح الكامل (اختياري),"moderate-protein,moderate-fat,high-carb,breakfast,egyptian",,,breakfast,,,,
Shakshuka with Feta Cheese (300g),شكشوكة بالجبنة الفيتا (300 جرام),300,20,18,18,Shakshuka (250g - 2 eggs and sauce) topped with feta cheese (30g).,شكشوكة (250 جرام - 2 بيضة وصلصة) مغطاة بالجبنة الفيتا (30 جرام).,egyptian/mediterranean,300g serving,300 جرام للوجبة,50g whole wheat bread (1 slice),50 جرام خبز القمح الكامل (1 شريحة),"vegetarian,high-protein,moderate-fat,moderate-carb,breakfast,egyptian,mediterranean",,,breakfast,,,,
Labneh with Walnuts and Honey (180g),لبنة بالجوز والعسل (180 جرام),320,10,25,15,Labneh (150g) topped with walnuts (20g) and honey (1 tsp).,لبنة (150 جرام) مغطاة بالجوز (20 جرام) والعسل (1 ملعقة صغيرة).,egyptian/mediterranean,180g serving,180 جرام للوجبة,100g whole wheat pita bread or vegetables,100 جرام خبز بيتا القمح الكامل أو خضروات,"vegetarian,moderate-protein,high-fat,moderate-carb,breakfast,mediterranean",,,breakfast,,,,
Baladi Bread with Halawa and Qeshta (150g),خبز بلدي بحلاوة وقشطة (150 جرام),450,7,25,50,Baladi bread (100g) with a spread of halawa (30g) and qeshta (20g).,خبز بلدي (100 جرام) مع دهن من حلاوة طحينية (30 جرام) وقشطة (20 جرام).,egyptian,150g serving,150 جرام للوجبة,No additional bread,لا خبز إضافي,"vegetarian,low-protein,high-fat,high-carb,breakfast,egyptian",,,breakfast,,,,
Eggs with Basturma (300g),بيض بالبسطرمة (300 جرام),350,25,25,5,Scrambled eggs (2 large) with basturma (cured beef - 50g).,بيض مخفوق (2 كبير) مع بسطرمة (لحم بقري مملح - 50 جرام).,egyptian,300g serving,300 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,high-fat,low-carb,breakfast,egyptian",,,breakfast,,,,
Mediterranean Frittata (1 slice - 200g),فريتاتا متوسطية (1 شريحة - 200 جرام),380,25,28,10,"Frittata slice with eggs (2), feta cheese (40g), olives (20g), and sun-dried tomatoes (20g).",شريحة فريتاتا بالبيض (2) وجبن فيتا (40 جرام) وزيتون (20 جرام) وطماطم مجففة بالشمس (20 جرام).,egyptian/mediterranean,1 slice (200g),1 شريحة (200 جرام),No bread suggested,لا يقترح خبز,"vegetarian,high-protein,high-fat,low-carb,breakfast,mediterranean",,,breakfast,,,,
Hard-Boiled Eggs with Avocado (2 eggs + 1/2 avocado),بيض مسلوق مع أفوكادو (2 بيضة + نصف أفوكادو),320,15,25,5,Two hard-boiled eggs (120g) served with half a medium avocado (approx. 70g).,بيضتان مسلوقتان (120 جرام) تقدم مع نصف أفوكادو متوسط (حوالي 70 جرام).,egyptian/american,2 eggs + 1/2 avocado,2 بيضة + نصف أفوكادو,No bread suggested,لا يقترح خبز,"high-protein,high-fat,low-carb,breakfast",,,breakfast,,,,
Pancakes with Qeshta and Honey (2 pancakes),بان كيك بالقشطة والعسل (2 بان كيك),500,7,25,60,Pancakes (2 medium) topped with qeshta (30g) and honey (2 tbsp).,بان كيك (2 متوسط) مغطاة بالقشطة (30 جرام) والعسل (2 ملعقة كبيرة).,egyptian/american,2 pancakes + toppings,2 بان كيك + الإضافات,No bread suggested,لا يقترح خبز,"vegetarian,low-protein,high-fat,high-carb,breakfast,sweet,egyptian",,,breakfast,,,,
Breakfast Burrito with Foul and Taameya (1 burrito),بوريتو إفطار بالفول والطعمية (1 بوريتو),500,20,20,50,"Whole wheat tortilla (80g) filled with ful medames (100g), taameya (2 pieces), and salsa (30g).",تورتيلا قمح كامل (80 جرام) محشوة بالفول المدمس (100 جرام) والطعمية (2 قطعة) والصلصة (30 جرام).,egyptian/mexican,1 burrito,1 بوريتو,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,egyptian,mexican",,,breakfast,,,,
High-Protein Breakfast Bowl (Lentils & Eggs - 350g),وعاء إفطار عالي البروتين (عدس وبيض - 350 جرام),400,25,20,35,"Bowl with lentils (200g cooked lentils), scrambled eggs (2), and vegetables (50g spinach, tomatoes).","وعاء بالعدس (200 جرام عدس مطبوخ) والبيض المخفوق (2) والخضروات (50 جرام سبانخ، طماطم).",egyptian/american,350g bowl,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"vegetarian,high-protein,moderate-fat,moderate-carb,breakfast,bowl",,,breakfast,,,,
Overnight Oats with Dates and Nuts (300g),شوفان ليلي بالتمر والمكسرات (300 جرام),380,10,15,55,"Overnight oats (300g) with rolled oats, milk, chia seeds, dates (3 Medjool), and mixed nuts (20g).",شوفان ليلي (300 جرام) بالشوفان الكامل والحليب وبذور الشيا والتمر (3 مجدول) والمكسرات المشكلة (20 جرام).,egyptian/american,300g serving,300 جرام للوجبة,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,moderate-fat,high-carb,breakfast,overnight",,,breakfast,,,,
Whole Wheat Toast with Labneh and Za'atar (2 slices),توست قمح كامل باللبنة والزعتر (2 شريحة),350,10,20,30,Whole wheat toast (2 slices) topped with labneh (50g) and za'atar (1 tsp).,توست قمح كامل (2 شريحة) مغطى باللبنة (50 جرام) والزعتر (1 ملعقة صغيرة).,egyptian/mediterranean,2 slices toast + toppings,2 شريحة توست + الإضافات,Already includes bread (toast),يحتوي بالفعل على خبز (توست),"vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,mediterranean",,,breakfast,,,,
Breakfast Salad with Smoked Salmon and Eggs (350g),سلطة إفطار بسلمون مدخن وبيض (350 جرام),400,30,25,10,"Mixed greens salad (150g) with smoked salmon (50g), hard-boiled egg (1), avocado (30g), and light dressing.",سلطة خضراء مشكلة (150 جرام) مع سلمون مدخن (50 جرام) وبيض مسلوق (1) وأفوكادو (30 جرام) وصلصة خفيفة.,american/mediterranean,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,high-fat,low-carb,breakfast,salad,omega-3",,,breakfast,,,,
Protein Smoothie (Peanut Butter & Banana - 350ml),سموذي بروتين (زبدة الفول السوداني والموز - 350 مل),400,30,15,40,"Protein smoothie with whey protein (30g), milk (200ml), banana (1 medium), and peanut butter (1 tbsp).",سموذي بروتين ببروتين مصل اللبن (30 جرام) والحليب (200 مل) والموز (1 متوسط) وزبدة الفول السوداني (1 ملعقة كبيرة).,american,350ml serving,350 مل للوجبة,No bread suggested,لا يقترح خبز,"high-protein,moderate-fat,moderate-carb,breakfast,smoothie",,,breakfast,,,,
Breakfast Frittata with Sausage and Peppers (1 slice - 200g),فريتاتا إفطار بالنقانق والفلفل (1 شريحة - 200 جرام),420,25,30,10,"Frittata slice with eggs (2), sausage (80g), bell peppers (50g), onions (30g), and cheese (20g).",شريحة فريتاتا بالبيض (2) والنقانق (80 جرام) والفلفل الحلو (50 جرام) والبصل (30 جرام) والجبن (20 جرام).,american/italian,1 slice (200g),1 شريحة (200 جرام),No bread suggested,لا يقترح خبز,"moderate-protein,high-fat,low-carb,breakfast,italian",,,breakfast,,,,
Lentil Soup with Baladi Bread (350g),شوربة عدس مع خبز بلدي (350 جرام),350,15,8,50,Lentil soup (300ml) served with baladi bread (50g).,شوربة عدس (300 مل) تقدم مع خبز بلدي (50 جرام).,egyptian/middle_eastern,350g serving,350 جرام للوجبة,Already includes bread (Baladi bread),يحتوي بالفعل على خبز (خبز بلدي),"vegan,vegetarian,moderate-protein,low-fat,high-carb,breakfast,soup,fiber-rich",,,breakfast,,,,
Scrambled Eggs with Vegetables and Feta (350g),بيض مخفوق بالخضروات والفيتا (350 جرام),350,20,25,10,"Scrambled eggs (2 large) with mixed vegetables (100g peppers, onions, spinach) and feta cheese (30g).","بيض مخفوق (2 كبير) مع خضروات مشكلة (100 جرام فلفل، بصل، سبانخ) وجبن فيتا (30 جرام).",american/mediterranean,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"vegetarian,high-protein,high-fat,low-carb,breakfast",,,breakfast,,,,
Oatmeal with Fruits and Seeds (350g),شوفان بالفواكه والبذور (350 جرام),380,10,15,55,Cooked oatmeal (250g) topped with mixed fruits (50g) and seeds (30g mixed seeds).,شوفان مطبوخ (250 جرام) مغطى بالفواكه المشكلة (50 جرام) والبذور (30 جرام بذور مشكلة).,american,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,moderate-fat,high-carb,breakfast",,,breakfast,,,,
