name_english,name_arabic,calories,protein (g),fat (g),carbohydrates (g),recipe_english,recipe_arabic,food_type,serving_size_english,serving_size_arabic,bread_suggestion_english,bread_suggestion_arabic,tags,meal
Egg Salad Sandwich (Whole Wheat Bread),ساندويتش سلطة بيض (خبز قمح كامل),320,15,18,25,"Egg salad sandwich (1 sandwich) on whole wheat bread with egg salad (eggs, mayo, mustard).","ساندويتش سلطة بيض (1 ساندويتش) على خبز قمح كامل مع سلطة بيض (بيض، مايونيز، خردل).",american,1 sandwich serving,1 وجبة ساندويتش,Already includes bread (whole wheat bread),يحتوي بالفعل على خبز (خبز قمح كامل),"moderate-protein,moderate-fat,moderate-carb,lunch,sandwich,vegetarian",american
Hummus and Veggie Sandwich (Whole Wheat Pita),ساندويتش حمص وخضروات (بيتا قمح كامل),300,10,12,40,"Hummus and veggie sandwich (1 sandwich) in whole wheat pita bread with hummus, cucumber, tomato, spinach.","ساندويتش حمص وخضروات (1 ساندويتش) في خبز بيتا قمح كامل مع حمص، خيار، طماطم، سبانخ.",american,1 sandwich serving,1 وجبة ساندويتش,Already includes bread (whole wheat pita),يحتوي بالفعل على خبز (بيتا قمح كامل),"vegetarian,vegan,moderate-protein,moderate-fat,high-carb,lunch,sandwich",american
Baba Ghanoush and Veggie Sandwich (Whole Wheat Pita),ساندويتش بابا غنوج وخضروات (بيتا قمح كامل),320,9,15,35,"Baba ghanoush and veggie sandwich (1 sandwich) in whole wheat pita bread with baba ghanoush, bell peppers, red onion, lettuce.","ساندويتش بابا غنوج وخضروات (1 ساندويتش) في خبز بيتا قمح كامل مع بابا غنوج، فلفل رومي، بصل أحمر، خس.",american,1 sandwich serving,1 وجبة ساندويتش,Already includes bread (whole wheat pita),يحتوي بالفعل على خبز (بيتا قمح كامل),"vegetarian,vegan,moderate-protein,moderate-fat,moderate-carb,lunch,sandwich",american
Falafel Salad (No Bread),سلطة فلافل (بدون خبز),350,15,20,30,"Falafel salad (300g) with falafel (4 pieces), mixed greens, cucumber, tomato, tahini dressing.","سلطة فلافل (300 جرام) مع فلافل (4 قطع)، خضروات مشكلة، خيار، طماطم، صلصة طحينة.",american,300g serving,300 جرام للوجبة,No bread suggested (salad style),لا يقترح خبز (طبق سلطة),"vegetarian,vegan,moderate-protein,moderate-fat,moderate-carb,lunch,salad",american
Chicken Caesar Wrap (Whole Wheat Tortilla),راب سيزر دجاج (تورتيلا قمح كامل),420,35,20,30,"Chicken Caesar wrap (1 wrap) with grilled chicken, romaine lettuce, Caesar dressing, parmesan cheese in a whole wheat tortilla.","راب سيزر دجاج (1 راب) مع دجاج مشوي، خس روماني، صلصة سيزر، جبن بارميزان في تورتيلا قمح كامل.",american,1 wrap serving,1 وجبة راب,Already includes bread (whole wheat tortilla),يحتوي بالفعل على خبز (تورتيلا قمح كامل),"high-protein,moderate-fat,moderate-carb,lunch,wrap",american
Spicy Chicken Wrap (Whole Wheat Tortilla),راب دجاج حار (تورتيلا قمح كامل),400,32,18,35,"Spicy chicken wrap (1 wrap) with grilled chicken marinated in spicy seasoning, lettuce, tomato, spicy mayo in a whole wheat tortilla.","راب دجاج حار (1 راب) مع دجاج مشوي متبل بتوابل حارة، خس، طماطم، مايونيز حار في تورتيلا قمح كامل.",american,1 wrap serving,1 وجبة راب,Already includes bread (whole wheat tortilla),يحتوي بالفعل على خبز (تورتيلا قمح كامل),"high-protein,moderate-fat,moderate-carb,lunch,wrap,spicy",american
Vegetable and Hummus Wrap (Whole Wheat Tortilla),راب خضروات وحمص (تورتيلا قمح كامل),350,12,15,45,"Vegetable and hummus wrap (1 wrap) with hummus, roasted vegetables (peppers, zucchini, eggplant), spinach in a whole wheat tortilla.","راب خضروات وحمص (1 راب) مع حمص، خضروات مشوية (فلفل، كوسة، باذنجان)، سبانخ في تورتيلا قمح كامل.",american,1 wrap serving,1 وجبة راب,Already includes bread (whole wheat tortilla),يحتوي بالفعل على خبز (تورتيلا قمح كامل),"vegetarian,vegan,moderate-protein,moderate-fat,high-carb,lunch,wrap",american
Chicken and Quinoa Bowl (Mediterranean Style),وعاء دجاج وكينوا (على الطريقة المتوسطية),430,40,18,35,"Chicken and quinoa bowl (350g) with grilled chicken, quinoa, roasted vegetables (peppers, zucchini), feta cheese, olives, lemon-herb dressing.","وعاء دجاج وكينوا (350 جرام) مع دجاج مشوي، كينوا، خضروات مشوية (فلفل، كوسة)، جبنة فيتا، زيتون، صلصة ليمون وأعشاب.",american,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,moderate-fat,moderate-carb,lunch,bowl,mediterranean",american
Shrimp and Quinoa Bowl (Mediterranean Style),وعاء روبيان وكينوا (على الطريقة المتوسطية),400,35,15,38,"Shrimp and quinoa bowl (350g) with grilled shrimp, quinoa, roasted vegetables (peppers, zucchini), sun-dried tomatoes, olives, balsamic vinaigrette.","وعاء روبيان وكينوا (350 جرام) مع روبيان مشوي، كينوا، خضروات مشوية (فلفل، كوسة)، طماطم مجففة بالشمس، زيتون، صلصة بلسمية.",american,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,moderate-fat,moderate-carb,lunch,bowl,mediterranean",american
Tofu and Quinoa Bowl (Mediterranean Style),وعاء توفو وكينوا (على الطريقة المتوسطية),380,20,15,45,"Tofu and quinoa bowl (350g) with grilled tofu, quinoa, roasted vegetables (peppers, zucchini), hummus, olives, tahini dressing.","وعاء توفو وكينوا (350 جرام) مع توفو مشوي، كينوا، خضروات مشوية (فلفل، كوسة)، حمص، زيتون، صلصة طحينة.",american,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"vegetarian,vegan,moderate-protein,moderate-fat,moderate-carb,lunch,bowl,mediterranean",american
Chicken and Sweet Potato Bowl,وعاء دجاج وبطاطا حلوة,450,40,20,30,"Chicken and sweet potato bowl (350g) with grilled chicken, roasted sweet potatoes, black beans, corn, salsa, avocado.","وعاء دجاج وبطاطا حلوة (350 جرام) مع دجاج مشوي، بطاطا حلوة مشوية، فاصوليا سوداء، ذرة، صلصة، أفوكادو.",american,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,moderate-fat,moderate-carb,lunch,bowl,american",american
Beef and Sweet Potato Bowl,وعاء لحم بقري وبطاطا حلوة,500,45,25,25,"Beef and sweet potato bowl (350g) with grilled beef strips, roasted sweet potatoes, black beans, corn, salsa, guacamole.","وعاء لحم بقري وبطاطا حلوة (350 جرام) مع شرائح لحم بقري مشوية، بطاطا حلوة مشوية، فاصوليا سوداء، ذرة، صلصة، جواكامولي.",american,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,high-fat,moderate-carb,lunch,bowl,american",american
Tofu and Sweet Potato Bowl,وعاء توفو وبطاطا حلوة,400,22,18,40,"Tofu and sweet potato bowl (350g) with grilled tofu, roasted sweet potatoes, black beans, corn, salsa, vegan sour cream.","وعاء توفو وبطاطا حلوة (350 جرام) مع توفو مشوي، بطاطا حلوة مشوية، فاصوليا سوداء، ذرة، صلصة، كريمة حامضة نباتية.",american,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"vegetarian,vegan,moderate-protein,moderate-fat,moderate-carb,lunch,bowl,american",american
Chicken and Brown Rice Bowl,وعاء دجاج وأرز بني,420,38,15,40,"Chicken and brown rice bowl (350g) with grilled chicken, brown rice, steamed broccoli, carrots, snow peas, teriyaki sauce.","وعاء دجاج وأرز بني (350 جرام) مع دجاج مشوي، أرز بني، بروكلي مطبوخ على البخار، جزر، بازلاء الثلج، صلصة ترياكي.",american,350g serving,350 جرام للوجبة,No bread suggested (rice included),لا يقترح خبز (الأرز مشمول),"high-protein,moderate-fat,moderate-carb,lunch,bowl,american",american
Shrimp and Brown Rice Bowl,وعاء روبيان وأرز بني,400,35,12,45,"Shrimp and brown rice bowl (350g) with grilled shrimp, brown rice, steamed broccoli, carrots, snow peas, ginger-soy sauce.","وعاء روبيان وأرز بني (350 جرام) مع روبيان مشوي، أرز بني، بروكلي مطبوخ على البخار، جزر، بازلاء الثلج، صلصة زنجبيل وصويا.",american,350g serving,350 جرام للوجبة,No bread suggested (rice included),لا يقترح خبز (الأرز مشمول),"high-protein,moderate-fat,moderate-carb,lunch,bowl,american",american
Tofu and Brown Rice Bowl,وعاء توفو وأرز بني,380,20,12,50,"Tofu and brown rice bowl (350g) with grilled tofu, brown rice, steamed broccoli, carrots, snow peas, peanut sauce.","وعاء توفو وأرز بني (350 جرام) مع توفو مشوي، أرز بني، بروكلي مطبوخ على البخار، جزر، بازلاء الثلج، صلصة الفول السوداني.",american,350g serving,350 جرام للوجبة,No bread suggested (rice included),لا يقترح خبز (الأرز مشمول),"vegetarian,vegan,moderate-protein,moderate-fat,moderate-carb,lunch,bowl,american",american
Chicken and Couscous Bowl (Moroccan Style),وعاء دجاج وكسكس (على الطريقة المغربية),450,40,18,40,"Chicken and couscous bowl (350g) with grilled chicken, couscous, chickpeas, raisins, almonds, Moroccan spices.","وعاء دجاج وكسكس (350 جرام) مع دجاج مشوي، كسكس، حمص، زبيب، لوز، توابل مغربية.",american,350g serving,350 جرام للوجبة,No bread suggested (couscous included),لا يقترح خبز (الكسكس مشمول),"high-protein,moderate-fat,moderate-carb,lunch,bowl,moroccan",american
Lamb and Couscous Bowl (Moroccan Style),وعاء لحم ضأن وكسكس (على الطريقة المغربية),500,45,25,35,"Lamb and couscous bowl (350g) with grilled lamb, couscous, chickpeas, dried apricots, pistachios, Moroccan spices.","وعاء لحم ضأن وكسكس (350 جرام) مع لحم ضأن مشوي، كسكس، حمص، مشمش مجفف، فستق، توابل مغربية.",american,350g serving,350 جرام للوجبة,No bread suggested (couscous included),لا يقترح خبز (الكسكس مشمول),"high-protein,high-fat,moderate-carb,lunch,bowl,moroccan",american
Vegetable and Couscous Bowl (Moroccan Style),وعاء خضروات وكسكس (على الطريقة المغربية),400,15,15,60,"Vegetable and couscous bowl (350g) with roasted vegetables (carrots, zucchini, eggplant), couscous, chickpeas, raisins, almonds, Moroccan spices.","وعاء خضروات وكسكس (350 جرام) مع خضروات مشوية (جزر، كوسة، باذنجان)، كسكس، حمص، زبيب، لوز، توابل مغربية.",american,350g serving,350 جرام للوجبة,No bread suggested (couscous included),لا يقترح خبز (الكسكس مشمول),"vegetarian,vegan,moderate-protein,moderate-fat,high-carb,lunch,bowl,moroccan",american
Egyptian Chicken and Rice (Roz Bel Laban - Savory),أرز باللبن بالدجاج (مصري - مالح),400,30,15,40,"Savory Roz Bel Laban (Egyptian Rice Pudding): Rice cooked in chicken broth with shredded chicken, herbs, and spices.","أرز باللبن مالح (بودينغ الأرز المصري): أرز مطبوخ في مرقة دجاج مع دجاج مفروم، أعشاب، وتوابل.",egyptian,350g serving,350 جرام للوجبة,No bread suggested (rice included),لا يقترح خبز (الأرز مشمول),"high-protein,moderate-fat,moderate-carb,lunch,egyptian,traditional",egyptian
Egyptian Bamya (Okra Stew) with Beef and Rice,بامية مصرية باللحم والأرز,450,35,20,40,"Egyptian Bamya (Okra Stew): Okra cooked in tomato-based stew with beef cubes, garlic, and Egyptian spices. Served with 100g white rice.","بامية مصرية (يخنة البامية): بامية مطبوخة في يخنة طماطم مع مكعبات لحم بقري، ثوم، وتوابل مصرية. يقدم مع 100 جرام أرز أبيض.",egyptian,400g serving,400 جرام للوجبة,No bread suggested (rice included),لا يقترح خبز (الأرز مشمول),"high-protein,moderate-fat,moderate-carb,lunch,egyptian,traditional",egyptian
Egyptian Fasolia Beida (White Bean Stew) with Chicken and Rice,فاصوليا بيضاء مصرية بالدجاج والأرز,420,32,18,45,"Egyptian Fasolia Beida (White Bean Stew): White beans cooked in tomato-based stew with chicken pieces, carrots, and Egyptian spices. Served with 100g white rice.","فاصوليا بيضاء مصرية (يخنة الفاصوليا البيضاء): فاصوليا بيضاء مطبوخة في يخنة طماطم مع قطع دجاج، جزر، وتوابل مصرية. يقدم مع 100 جرام أرز أبيض.",egyptian,400g serving,400 جرام للوجبة,No bread suggested (rice included),لا يقترح خبز (الأرز مشمول),"high-protein,moderate-fat,moderate-carb,lunch,egyptian,traditional",egyptian
Egyptian Turli (Mixed Vegetable Stew) with Rice,تورلي مصري (يخنة خضار مشكلة) مع الأرز,380,15,12,60,"Egyptian Turli (Mixed Vegetable Stew): Mixed vegetables (potatoes, carrots, zucchini, peas) cooked in tomato-based stew with Egyptian spices. Served with 100g white rice.","تورلي مصري (يخنة خضار مشكلة): خضروات مشكلة (بطاطس، جزر، كوسة، بازلاء) مطبوخة في يخنة طماطم مع توابل مصرية. يقدم مع 100 جرام أرز أبيض.",egyptian,400g serving,400 جرام للوجبة,No bread suggested (rice included),لا يقترح خبز (الأرز مشمول),"vegetarian,vegan,moderate-protein,moderate-fat,high-carb,lunch,egyptian,traditional",egyptian
Egyptian Adas b Hamod (Lentil Soup with Lemon),شوربة عدس بالليمون (مصرية),280,18,7,40,"Egyptian Adas b Hamod (Lentil Soup with Lemon): Red lentils cooked with vegetables, lemon juice, and cumin. Served with baladi bread (optional).","شوربة عدس بالليمون (مصرية): عدس أحمر مطبوخ مع خضروات، عصير ليمون، وكمون. يقدم مع خبز بلدي (اختياري).",egyptian,300ml serving,300 مل للوجبة,Baladi bread (optional),خبز بلدي (اختياري),"vegetarian,vegan,high-protein,low-fat,high-carb,lunch,egyptian,soup",egyptian
Egyptian Ful Medames (Fava Bean Stew) - Lunch Style,فول مدمس مصري (يخنة الفول) - نمط الغداء,350,20,10,50,"Egyptian Ful Medames (Fava Bean Stew): Fava beans stewed with tomatoes, onions, garlic, and cumin. Topped with olive oil and parsley. Served with baladi bread.","فول مدمس مصري (يخنة الفول): فول مدمس مطبوخ مع طماطم، بصل، ثوم، وكمون. مغطى بزيت الزيتون والبقدونس. يقدم مع خبز بلدي.",egyptian,350g serving,350 جرام للوجبة,Baladi bread,خبز بلدي,"vegetarian,vegan,high-protein,low-fat,high-carb,lunch,egyptian,traditional",egyptian
Egyptian Taameya (Falafel) Plate - Lunch Portion,طبق طعمية مصرية (فلافل) - حصة الغداء,400,20,25,30,"Egyptian Taameya (Falafel) Plate: Falafel (6 pieces), hummus, tahini sauce, pickled vegetables, and mixed greens. Served with baladi bread (optional).","طبق طعمية مصرية (فلافل): فلافل (6 قطع)، حمص، صلصة طحينة، مخلل خضروات، وخضروات مشكلة. يقدم مع خبز بلدي (اختياري).",egyptian,400g serving,400 جرام للوجبة,Baladi bread (optional),خبز بلدي (اختياري),"vegetarian,vegan,moderate-protein,moderate-fat,moderate-carb,lunch,egyptian,traditional",egyptian
Egyptian Gabeena Domiati Salad (Domiati Cheese Salad),سلطة جبنة دمياطي مصرية,250,15,18,5,"Egyptian Gabeena Domiati Salad: Domiati cheese cubes, tomatoes, cucumbers, green peppers, olives, and olive oil dressing.","سلطة جبنة دمياطي مصرية: مكعبات جبنة دمياطي، طماطم، خيار، فلفل أخضر، زيتون، وصلصة زيت زيتون.",egyptian,200g serving,200 جرام للوجبة,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,high-fat,very-low-carb,lunch,egyptian,salad",egyptian
Egyptian Macarona Salad (Pasta Salad),سلطة مكرونة مصرية,300,8,15,35,"Egyptian Macarona Salad: Cooked pasta, tuna (optional), mixed vegetables (peas, corn, carrots), mayonnaise dressing.","سلطة مكرونة مصرية: مكرونة مطبوخة، تونة (اختياري)، خضروات مشكلة (بازلاء، ذرة، جزر)، صلصة مايونيز.",egyptian,300g serving,300 جرام للوجبة,No bread suggested,لا يقترح خبز,"moderate-protein,moderate-fat,high-carb,lunch,egyptian,salad",egyptian
Egyptian Roz Meamar (Baked Rice),أرز معمر مصري (أرز مخبوز),450,10,20,55,"Egyptian Roz Meamar (Baked Rice): Rice baked with milk, cream, butter, and salt. Savory version for lunch.","أرز معمر مصري (أرز مخبوز): أرز مخبوز مع حليب، كريمة، زبدة، وملح. نسخة مالحة للغداء.",egyptian,300g serving,300 جرام للوجبة,No bread suggested (rice included),لا يقترح خبز (الأرز مشمول),"moderate-protein,high-fat,high-carb,lunch,egyptian,traditional",egyptian
Egyptian Chicken Kofta with Tahini Salad,كفتة دجاج مصرية مع سلطة طحينة,480,40,25,20,"Egyptian Chicken Kofta: Grilled chicken kofta skewers (2 skewers - 150g) served with tahini salad (150g - tahini, yogurt, cucumber, herbs).","كفتة دجاج مصرية: أسياخ كفتة دجاج مشوية (2 سيخ - 150 جرام) تقدم مع سلطة طحينة (150 جرام - طحينة، زبادي، خيار، أعشاب).",egyptian,300g serving,300 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,moderate-fat,low-carb,lunch,egyptian,grilled",egyptian
Egyptian Fish Kofta with Green Salad,كفتة سمك مصرية مع سلطة خضراء,420,35,20,15,"Egyptian Fish Kofta: Baked fish kofta skewers (2 skewers - 150g) served with green salad (150g - mixed greens, tomatoes, cucumbers, lemon dressing).","كفتة سمك مصرية: أسياخ كفتة سمك مخبوزة (2 سيخ - 150 جرام) تقدم مع سلطة خضراء (150 جرام - خضروات مشكلة، طماطم، خيار، صلصة ليمون).",egyptian,300g serving,300 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,moderate-fat,low-carb,lunch,egyptian,baked",egyptian
Egyptian Shish Tawook Plate (No Pita),طبق شيش طاووق مصري (بدون بيتا),450,45,22,15,"Egyptian Shish Tawook: Grilled chicken cubes (150g) marinated in Egyptian spices, served with a side of hummus (50g) and pickled vegetables.","شيش طاووق مصري: مكعبات دجاج مشوية (150 جرام) متبلة بتوابل مصرية، تقدم مع طبق جانبي من الحمص (50 جرام) ومخلل خضروات.",egyptian,300g serving,300 جرام للوجبة,No bread suggested (plate style),لا يقترح خبز (طبق بدون خبز),"high-protein,moderate-fat,low-carb,lunch,egyptian,grilled",egyptian
Egyptian Grilled Chicken Plate with Vegetables,طبق دجاج مصري مشوي مع خضروات,400,40,20,10,"Egyptian Grilled Chicken: Grilled chicken breast (150g) marinated in Egyptian spices, served with grilled vegetables (150g - peppers, onions, zucchini).","دجاج مصري مشوي: صدر دجاج مشوي (150 جرام) متبل بتوابل مصرية، يقدم مع خضروات مشوية (150 جرام - فلفل، بصل، كوسة).",egyptian,300g serving,300 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,moderate-fat,low-carb,lunch,egyptian,grilled",egyptian
Egyptian Grilled Fish Plate with Vegetables,طبق سمك مصري مشوي مع خضروات,380,35,18,8,"Egyptian Grilled Fish: Grilled white fish fillet (150g) marinated in Egyptian spices, served with grilled vegetables (150g - peppers, onions, zucchini).","سمك مصري مشوي: شريحة سمك أبيض مشوية (150 جرام) متبلة بتوابل مصرية، تقدم مع خضروات مشوية (150 جرام - فلفل، بصل، كوسة).",egyptian,300g serving,300 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,moderate-fat,low-carb,lunch,egyptian,grilled",egyptian
Egyptian Sayadia Rice with Grilled Fish,أرز صيادية مصري مع سمك مشوي,480,35,20,55,"Egyptian Sayadia Rice: Sayadia rice (200g) cooked with fish broth and spices, served with grilled fish fillet (100g).","أرز صيادية مصري: أرز صيادية (200 جرام) مطبوخ بمرقة سمك وتوابل، يقدم مع شريحة سمك مشوية (100 جرام).",egyptian,300g serving,300 جرام للوجبة,No bread suggested (rice included),لا يقترح خبز (الأرز مشمول),"high-protein,moderate-fat,moderate-carb,lunch,egyptian,traditional",egyptian
Egyptian Couscous with Vegetables (Vegetarian),كسكس مصري بالخضروات (نباتي),400,12,15,65,"Egyptian Couscous with Vegetables: Couscous (200g cooked) steamed and served with vegetable stew (150g - carrots, zucchini, chickpeas, tomato sauce).","كسكس مصري بالخضروات: كسكس (200 جرام مطبوخ) مبخر ويقدم مع يخنة خضار (150 جرام - جزر، كوسة، حمص، صلصة طماطم).",egyptian,350g serving,350 جرام للوجبة,No bread suggested (couscous included),لا يقترح خبز (الكسكس مشمول),"vegetarian,vegan,moderate-protein,moderate-fat,high-carb,lunch,egyptian,traditional",egyptian
Egyptian Couscous with Chicken,كسكس مصري بالدجاج,450,30,18,50,"Egyptian Couscous with Chicken: Couscous (200g cooked) steamed and served with chicken stew (150g - chicken pieces, carrots, chickpeas, tomato sauce).","كسكس مصري بالدجاج: كسكس (200 جرام مطبوخ) مبخر ويقدم مع يخنة دجاج (150 جرام - قطع دجاج، جزر، حمص، صلصة طماطم).",egyptian,350g serving,350 جرام للوجبة,No bread suggested (couscous included),لا يقترح خبز (الكسكس مشمول),"high-protein,moderate-fat,moderate-carb,lunch,egyptian,traditional",egyptian
Egyptian Hawawshi (Meat Stuffed Baladi Bread),حواوشي مصري (خبز بلدي محشو باللحم),500,25,30,40,Egyptian Hawawshi: Baladi bread (1 loaf) stuffed with spiced minced meat (beef or lamb) and baked or grilled.,حواوشي مصري: خبز بلدي (1 رغيف) محشو باللحم المفروم المتبل (لحم بقري أو ضأن) ومخبوز أو مشوي.,egyptian,1 hawawshi serving,1 وجبة حواوشي,Already includes bread (Baladi bread),يحتوي بالفعل على خبز (خبز بلدي),"high-protein,high-fat,moderate-carb,lunch,egyptian,traditional",egyptian
Egyptian Alexandria Liver Sandwich (Kibda Eskandarani),ساندويتش كبدة إسكندراني مصري,420,30,20,35,Egyptian Alexandria Liver Sandwich (Kibda Eskandarani): Alexandria style liver (kibda) cooked with peppers and spices in baladi bread (1/2 loaf).,ساندويتش كبدة إسكندراني مصري: كبدة إسكندراني مطبوخة بالفلفل والتوابل في خبز بلدي (نصف رغيف).,egyptian,1 sandwich serving,1 وجبة ساندويتش,Already includes bread (Baladi bread),يحتوي بالفعل على خبز (خبز بلدي),"high-protein,moderate-fat,moderate-carb,lunch,egyptian,sandwich,traditional",egyptian
Egyptian Sausage Sandwich (Sogok Baladi),ساندويتش سجق بلدي مصري,450,25,25,40,Egyptian Sausage Sandwich (Sogok Baladi): Egyptian sausage (sogok baladi) cooked with tomatoes and onions in baladi bread (1/2 loaf).,ساندويتش سجق بلدي مصري: سجق بلدي مصري مطبوخ مع طماطم وبصل في خبز بلدي (نصف رغيف).,egyptian,1 sandwich serving,1 وجبة ساندويتش,Already includes bread (Baladi bread),يحتوي بالفعل على خبز (خبز بلدي),"high-protein,high-fat,moderate-carb,lunch,egyptian,sandwich,traditional",egyptian
Egyptian Molokhia with Shrimp and Rice,ملوخية مصرية بالروبيان والأرز,420,35,15,35,Egyptian Molokhia with Shrimp: Molokhia soup with shrimp (100g shrimp) cooked in molokhia broth with garlic and coriander. Served with 100g white rice.,ملوخية مصرية بالروبيان: شوربة ملوخية مع روبيان (100 جرام روبيان) مطبوخ في مرقة ملوخية بالثوم والكزبرة. يقدم مع 100 جرام أرز أبيض.,egyptian,400g serving,400 جرام للوجبة,No bread suggested (rice included),لا يقترح خبز (الأرز مشمول),"high-protein,moderate-fat,moderate-carb,lunch,egyptian,soup",egyptian
Egyptian Besara (Fava Bean Dip/Stew) with Baladi Bread,بصارة مصرية (يخنة/غمس الفول) مع خبز بلدي,300,10,8,50,Egyptian Besara: Fava bean dip/stew cooked with herbs and spices. Topped with fried onions and served with baladi bread.,بصارة مصرية: غمس/يخنة الفول مطبوخة مع الأعشاب والتوابل. مغطاة بالبصل المقلي وتقدم مع خبز بلدي.,egyptian,350g serving,350 جرام للوجبة,Baladi bread,خبز بلدي,"vegetarian,vegan,moderate-protein,low-fat,high-carb,lunch,egyptian,traditional",egyptian
Grilled Chicken and Broccoli (Keto - American),دجاج مشوي وبروكلي (كيتو - أمريكي),350,40,20,5,Grilled chicken breast (150g) served with steamed broccoli (200g).,صدر دجاج مشوي (150 جرام) يقدم مع بروكلي مطبوخ على البخار (200 جرام).,american,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"keto,high-protein,high-fat,very-low-carb,lunch,grilled",american
Steak and Green Beans (Keto - American),ستيك وفاصوليا خضراء (كيتو - أمريكي),450,50,30,3,Grilled steak (150g sirloin) served with sautéed green beans (200g) in garlic butter.,ستيك مشوي (150 جرام سيرلوين) يقدم مع فاصوليا خضراء مقلية (200 جرام) في زبدة الثوم.,american,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"keto,high-protein,high-fat,very-low-carb,lunch,grilled",american
Salmon and Spinach Salad (Low Carb - American),سلطة سلمون وسبانخ (قليلة الكربوهيدرات - أمريكية),400,35,25,8,Grilled salmon fillet (150g) over spinach salad (150g) with olive oil and lemon dressing.,شريحة سلمون مشوية (150 جرام) فوق سلطة سبانخ (150 جرام) مع زيت زيتون وصلصة ليمون.,american,300g serving,300 جرام للوجبة,No bread suggested,لا يقترح خبز,"low-carb,high-protein,high-fat,very-low-carb,lunch,salad",american
Tuna Salad with Avocado (Low Carb - American),سلطة تونة بالأفوكادو (قليلة الكربوهيدرات - أمريكية),380,30,30,5,"Tuna salad (150g tuna in olive oil, mayo, celery) mixed with avocado (1/2 medium - 70g).","سلطة تونة (150 جرام تونة في زيت الزيتون، مايونيز، كرفس) مخلوطة بالأفوكادو (1/2 متوسط - 70 جرام).",american,300g serving,300 جرام للوجبة,No bread suggested,لا يقترح خبز,"low-carb,high-protein,high-fat,very-low-carb,lunch,salad",american
Chicken Thighs with Roasted Cauliflower (Keto - American),أفخاذ دجاج مع قرنبيط مشوي (كيتو - أمريكي),420,45,25,7,Roasted chicken thighs (2 medium thighs - 150g) served with roasted cauliflower (200g) seasoned with herbs.,أفخاذ دجاج مشوية (2 فخذ متوسط - 150 جرام) تقدم مع قرنبيط مشوي (200 جرام) متبل بالأعشاب.,american,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"keto,high-protein,high-fat,very-low-carb,lunch,roasted",american
Pork Chops with Asparagus (Keto - American),قطع لحم خنزير مع هليون (كيتو - أمريكي),480,50,30,2,Grilled pork chops (1 chop - 150g) served with grilled asparagus (200g).,قطع لحم خنزير مشوية (1 قطعة - 150 جرام) تقدم مع هليون مشوي (200 جرام).,american,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"keto,high-protein,high-fat,very-low-carb,lunch,grilled",american
Beef Lettuce Wraps (Low Carb - American),لفائف خس باللحم البقري (قليلة الكربوهيدرات - أمريكية),320,35,15,8,"Ground beef (120g lean beef) sautéed with onions, peppers, and spices. Served with lettuce cups for wrapping.",لحم بقري مفروم (120 جرام لحم بقري قليل الدهن) مقلي مع بصل وفلفل وتوابل. يقدم مع أوراق خس للف.,american,300g serving,300 جرام للوجبة,No bread suggested (lettuce wrap),لا يقترح خبز (لفائف خس),"low-carb,high-protein,moderate-fat,very-low-carb,lunch,wrap",american
Chicken Lettuce Wraps (Low Carb - American),لفائف خس بالدجاج (قليلة الكربوهيدرات - أمريكية),300,32,12,10,"Ground chicken (120g lean chicken) sautéed with water chestnuts, carrots, and soy sauce. Served with lettuce cups.",دجاج مفروم (120 جرام دجاج قليل الدهن) مقلي مع كستناء الماء والجزر وصلصة الصويا. يقدم مع أوراق خس.,american,300g serving,300 جرام للوجبة,No bread suggested (lettuce wrap),لا يقترح خبز (لفائف خس),"low-carb,high-protein,moderate-fat,very-low-carb,lunch,wrap",american
Egg Frittata with Sausage and Spinach (Low Carb - American),فريتاتا بيض بالسجق والسبانخ (قليلة الكربوهيدرات - أمريكية),380,30,25,5,"Egg frittata (1 slice - 200g) with eggs (3), chicken sausage (50g), spinach (50g), and cheese (20g).","فريتاتا بيض (1 شريحة - 200 جرام) مع بيض (3)، سجق دجاج (50 جرام)، سبانخ (50 جرام)، وجبن (20 جرام).",american,200g serving,200 جرام للوجبة,No bread suggested,لا يقترح خبز,"low-carb,high-protein,high-fat,very-low-carb,lunch",american
